system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,slope,.geo
2_10824,0.38765203952789307,0.3526519238948822,0.06808610260486603,0.703080952167511,0.6349948644638062,0.2578999996185303,0.05757499858736992,0.19840000569820404,0.20057499408721924,1.9100570678710938,-14.903326988220215,-14.97308349609375,-8.325902938842773,-7.839076519012451,215.56642150878906,1672.0,7.930405139923096,"{""type"":""Point"",""coordinates"":[28.91850979703197,-2.6378963807085176]}"
2_10825,0.5549719929695129,0.5890344381332397,0.01325595285743475,0.7849627137184143,0.771706759929657,0.32749998569488525,0.0421999990940094,0.20520000159740448,0.1737000048160553,1.9150325059890747,-14.837785720825195,-14.540138244628906,-8.073616981506348,-7.592632293701172,240.27772521972656,1638.0,7.440723896026611,"{""type"":""Point"",""coordinates"":[28.94996974111397,-2.4520890987116735]}"
2_10826,0.5143975615501404,0.435982882976532,0.011850336566567421,0.6848688721656799,0.6730185747146606,0.34459999203681946,0.06735000014305115,0.24015000462532043,0.2508625090122223,1.5935193300247192,-17.559080123901367,-17.0231876373291,-11.069557189941406,-10.682762145996094,167.18601989746094,1550.0,20.06355094909668,"{""type"":""Point"",""coordinates"":[29.219291207235734,-2.2699220962889948]}"
2_10828,0.39647409319877625,0.4123968183994293,0.06643127650022507,0.6896240711212158,0.6231927871704102,0.26945000886917114,0.06255000084638596,0.17739999294281006,0.19910000264644623,1.5458500385284424,-15.459280014038086,-16.09404754638672,-10.060237884521484,-10.411131858825684,3.5789895057678223,2339.0,27.430255889892578,"{""type"":""Point"",""coordinates"":[29.348769533317373,-2.2099409977794084]}"
2_10831,0.5150866508483887,0.5423876643180847,-0.08405991643667221,0.627738893032074,0.7117988467216492,0.3097499907016754,0.052149999886751175,0.21580000221729279,0.18039999902248383,9.381758689880371,-18.112951278686523,-8.478776931762695,-12.046646118164062,-0.9037513136863708,271.7345275878906,1755.0,28.138097763061523,"{""type"":""Point"",""coordinates"":[29.332148601574282,-2.113259493754681]}"
2_10834,0.5124632716178894,0.43818044662475586,0.03341032564640045,0.7070179581642151,0.6736076474189758,0.33355000615119934,0.06504999846220016,0.22949999570846558,0.21690000593662262,2.3160784244537354,-16.083391189575195,-12.69242000579834,-9.527191162109375,-5.480134010314941,334.518798828125,1689.0,20.635061264038086,"{""type"":""Point"",""coordinates"":[29.226589226884727,-2.2953977538822246]}"
2_10838,0.26510360836982727,0.17420193552970886,-0.012776974588632584,0.49210360646247864,0.5048806071281433,0.18115000426769257,0.05959999933838844,0.22660000622272491,0.19214999675750732,6.725865364074707,-18.22016716003418,-9.241549491882324,-12.875025749206543,-1.3740314245224,228.6407470703125,2060.0,42.19002914428711,"{""type"":""Point"",""coordinates"":[29.437057746887874,-2.10979602782405]}"
2_10841,0.3977699875831604,0.5184580087661743,-0.03322248533368111,0.6612725853919983,0.6944950819015503,0.23240000009536743,0.04190000146627426,0.15745000541210175,0.1412000060081482,2.2992353439331055,-14.721402168273926,-12.3031005859375,-9.057302474975586,-5.350953102111816,226.87705993652344,2212.0,19.55607032775879,"{""type"":""Point"",""coordinates"":[29.27182782712344,-2.599914848120866]}"
2_10843,0.4280082583427429,0.447259783744812,0.03666304796934128,0.6751704812049866,0.6385074257850647,0.2848750054836273,0.0628499984741211,0.21619999408721924,0.19456666707992554,1.733346939086914,-17.527740478515625,-15.548336029052734,-12.970009803771973,-8.970123291015625,317.4701843261719,1580.0,14.767226219177246,"{""type"":""Point"",""coordinates"":[29.605807035638662,-2.111152060669769]}"
2_10844,0.5115933418273926,0.5195623636245728,-0.05905415862798691,0.6781259179115295,0.7371801137924194,0.3111000061035156,0.047066666185855865,0.18279999494552612,0.17125000059604645,1.906754970550537,-15.598575592041016,-15.282964706420898,-8.921463012695312,-8.015170097351074,299.0347595214844,1626.0,9.467926979064941,"{""type"":""Point"",""coordinates"":[29.038357256466213,-2.313449928420465]}"
2_10847,0.5043363571166992,0.4416264593601227,0.0285495575517416,0.6833071708679199,0.6547576189041138,0.34389999508857727,0.07175000011920929,0.21580000221729279,0.22419999539852142,2.201390266418457,-13.734305381774902,-12.786723136901855,-6.400351524353027,-5.808475971221924,325.2823791503906,1548.0,14.360448837280273,"{""type"":""Point"",""coordinates"":[29.12927858507054,-2.345607461395691]}"
2_10849,0.5144832730293274,0.5029829740524292,0.022927073761820793,0.7178423404693604,0.694915235042572,0.32749998569488525,0.05894999951124191,0.19484999775886536,0.2003999948501587,2.498569965362549,-11.931595802307129,-13.459683418273926,-4.280459880828857,-5.3869547843933105,107.08695983886719,1739.0,23.785451889038086,"{""type"":""Point"",""coordinates"":[28.99915115152738,-2.5357789555736647]}"
2_10851,0.2608882188796997,0.2857142984867096,0.054977476596832275,0.5029900074005127,0.4480125606060028,0.22282500565052032,0.08494167029857635,0.1919499933719635,0.1923999935388565,2.1579935550689697,-16.551284790039062,-15.58139705657959,-11.293100357055664,-7.2203168869018555,329.3986511230469,1504.0,22.477550506591797,"{""type"":""Point"",""coordinates"":[28.915252814112122,-2.4059590893726535]}"
2_10852,0.36105868220329285,0.41745004057884216,0.07286291569471359,0.6201963424682617,0.5473334193229675,0.2676500082015991,0.07829999923706055,0.18029999732971191,0.16975000500679016,1.6809141635894775,-16.589988708496094,-17.42807960510254,-10.079306602478027,-10.368215560913086,29.754613876342773,2304.0,21.383718490600586,"{""type"":""Point"",""coordinates"":[29.52992055576927,-1.608967144185637]}"
2_10853,0.5763581395149231,0.5108377933502197,0.006622543092817068,0.743324339389801,0.7367018461227417,0.3746500015258789,0.0568000003695488,0.2529999911785126,0.23634999990463257,1.5379799604415894,-18.024215698242188,-17.028657913208008,-11.428216934204102,-11.072093963623047,206.576171875,2446.0,10.259591102600098,"{""type"":""Point"",""coordinates"":[29.41565476325156,-1.7842444732758294]}"
