system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
2_4632_0,0.46212557,0.41465774,0.021351457,0.71504253,0.6936911,0.29195,0.0528,0.2233,0.2114,1.9702241,-14.479282,-13.886975,-7.5613437,-7.048424,134.96878,1383.0,0,2.622937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.11686872534502,-2.6740600220027857]}"
2_4633_0,0.32970193,0.34355536,0.025859024,0.51181555,0.48595655,0.2804,0.097,0.2251,0.2249,2.3492153,-14.871334,-14.190416,-8.172052,-6.040492,282.0828,1435.0,0,13.0615225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.901003562571102,-2.5859352926306607]}"
2_4635_0,0.32954746,0.29835698,0.018186666,0.5865223,0.5683356,0.2318,0.0638,0.21335,0.20765,1.5696871,-15.902969,-16.028101,-10.47701,-10.211017,39.507046,1463.0,0,19.6301,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.231673418655497,-2.841146664849017]}"
2_4638_0,0.4163141,0.36758083,-0.08106879,0.5198193,0.60088813,0.2884,0.0719,0.2616,0.236,1.6447148,-14.474471,-14.774882,-7.574851,-8.983249,348.6782,1429.0,0,4.718793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.14435717303908,-2.660585292740993]}"
2_4640_0,0.29512644,0.27000156,0.019228451,0.5113413,0.49211285,0.240025,0.0817,0.21425,0.2259,1.4731113,-15.433561,-16.70094,-9.193838,-11.337188,45.030346,1489.0,0,29.796638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.899925584230157,-2.636600274655002]}"
2_4642_0,0.35874736,0.51554,0.052658256,0.7696477,0.71698946,0.19505,0.03215,0.1237,0.1284,1.6771806,-15.834235,-15.97059,-9.720486,-9.522284,56.336636,2421.0,0,13.149962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.387441288921824,-2.5746165200507547]}"
2_4643_0,0.59440696,0.6266797,-7.119339E-5,0.82704186,0.82711303,0.3329,0.0315,0.1673,0.1685,2.6534188,-14.581589,-11.200284,-6.4323845,-4.221077,253.15764,2456.0,0,29.192139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.32195410470951,-2.573808036295047]}"
2_4644_0,0.39270154,0.5949415,-0.057038352,0.72192514,0.7789635,0.2104625,0.02615,0.111175,0.1171,1.6275961,-14.228467,-14.595034,-8.8053665,-8.967234,345.9511,1911.0,0,7.6037526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.976731541022378,-2.4813713935591486]}"
2_4645_0,0.55105907,0.4779675,-0.06846552,0.65156883,0.72003436,0.3505,0.05705,0.24055,0.2305,1.8538319,-13.724288,-13.595145,-6.67859,-7.3335376,149.0114,1335.0,0,20.689482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.034672876848088,-2.5398517185553295]}"
2_4646_0,0.40940496,0.31814912,0.06218927,0.6960674,0.6338782,0.2749,0.0616,0.2322,0.2426,1.4571184,-15.966875,-18.696144,-12.223045,-12.830903,113.72387,2107.0,0,23.873533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334620350215594,-2.822282043882507]}"
2_4647_0,0.4259259,0.5447368,-0.013429722,0.72905636,0.74248606,0.2348,0.0347,0.15,0.1421,2.7466242,-13.346829,-11.537357,-6.4971614,-4.200559,326.2846,2116.0,0,22.22892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.186128833750637,-2.5072428737417907]}"
2_4650_0,0.5298291,0.45166996,0.0830927,0.81468296,0.7315903,0.3488,0.054066665,0.24048333,0.24045,1.8747988,-13.87012,-14.47397,-7.2677116,-7.720279,24.799076,1193.0,0,13.051673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.931995439873226,-2.683761827071277]}"
